ALL,lasso,ridge,gbm,rf,Total
TotalOpenTimeInWeek,0.0006315,-0.0006226,0.0497806,0.0113549,0.062389594
cat_Las Vegas_chinese_2.0,0.0031626,0.0555257,0.0021536,0.0012804,0.062122318
parking_validated,0.0000000,-0.0612895,0.0000000,0.0008083,0.062097773
cat_Calgary_italian_2.0,0.0000000,0.0569337,0.0016785,0.0033393,0.061951539
smoking_yes,0.0155098,0.0450036,0.0007963,0.0004580,0.061767653
noise_quiet,0.0342743,0.0186175,0.0040785,0.0035866,0.060556983
cat_Calgary_chinese_2.0,0.0023537,0.0519730,0.0014436,0.0038315,0.059601806
cat_Toronto_chinese_1.0,0.0052322,0.0407072,0.0060785,0.0042352,0.056253159
cat_Toronto_italian_3.0,0.0000000,0.0480570,0.0036007,0.0014050,0.053062668
wifi_free,0.0271635,0.0151487,0.0066980,0.0032868,0.052297036
cat_Calgary_chinese_nan,0.0000000,0.0461755,0.0003166,0.0011930,0.047685106
cat_Las Vegas_chinese_1.0,0.0000000,0.0427973,0.0004104,0.0021656,0.04537327
parking_valet,-0.0005604,-0.0408034,0.0017988,0.0004648,0.043627416
bestnight_tuesday,0.0000000,-0.0432637,0.0000000,0.0002255,0.04348924
cat_Las Vegas_american_2.0,0.0000000,0.0361878,0.0041157,0.0024348,0.042738362
Friday,-0.0069982,-0.0102291,0.0120733,0.0089531,0.03825378
Thursday,0.0055202,0.0080718,0.0188801,0.0048323,0.037304459
beer_and_wine,0.0106435,0.0166091,0.0064888,0.0034308,0.037172194
Wednesday,0.0068472,0.0116592,0.0112487,0.0055984,0.035353506
cat_Toronto_italian_2.0,0.0000000,0.0235221,0.0084155,0.0024922,0.0344298
good_for_brunch,0.0085478,0.0215696,0.0014609,0.0009859,0.032564216
Monday,0.0069716,0.0090581,0.0084705,0.0075232,0.032023466
full_bar,0.0000000,-0.0087843,0.0149915,0.0062749,0.030050671
RestaurantsGoodForGroups,0.0000000,0.0073306,0.0119485,0.0099771,0.029256228
Tuesday,-0.0072621,-0.0075558,0.0088231,0.0048286,0.028469571
ambience_upscale,0.0000000,-0.0247738,0.0009601,0.0000894,0.025823358
OutdoorSeating,0.0021184,0.0097949,0.0061576,0.0073669,0.025437756
cat_Toronto_italian_nan,0.0000000,-0.0223651,0.0003821,0.0026683,0.025415488
wifi_no,0.0000000,-0.0168671,0.0032315,0.0036355,0.023734041
RestaurantsDelivery,0.0019801,0.0041601,0.0099186,0.0075452,0.023604052
bestnight_wednesday,0.0000000,0.0195312,0.0000000,0.0004174,0.019948591
cat_Calgary_italian_3.0,0.0000000,0.0168760,0.0016388,0.0000564,0.018571104
RestaurantsTakeOut,0.0000000,0.0028893,0.0103975,0.0052109,0.01849773
